CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Accelerometer data rate set to: 12.5 Hz
[Immediate] [0.60] [-9.69] [1.30] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.69] [1.30] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.74] [0.93] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.74] [0.93] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [-9.74] [0.93] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.59] [-9.80] [0.08] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.59] [-9.80] [0.08] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.59] [-9.80] [0.08] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.59] [-9.80] [-0.32] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.59] [-9.80] [-0.32] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.59] [-9.80] [-0.32] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.59] [-9.79] [-0.69] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.59] [-9.79] [-0.69] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.59] [-9.79] [-0.69] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.58] [-9.74] [-1.02] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.58] [-9.74] [-1.02] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.58] [-9.74] [-1.02] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.58] [-9.69] [-1.36] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.58] [-9.69] [-1.36] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.58] [-9.69] [-1.36] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.57] [-9.57] [-2.10] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.57] [-9.57] [-2.10] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.57] [-9.57] [-2.10] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.56] [-9.49] [-2.46] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.56] [-9.49] [-2.46] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.56] [-9.49] [-2.46] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.56] [-9.40] [-2.80] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.56] [-9.40] [-2.80] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.56] [-9.40] [-2.80] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.56] [-9.28] [-3.13] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.56] [-9.28] [-3.13] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.56] [-9.28] [-3.13] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.54] [-9.00] [-3.87] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.54] [-9.00] [-3.87] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.54] [-9.00] [-3.87] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.54] [-8.84] [-4.25] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.54] [-8.84] [-4.25] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
