CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Gyro range set to: 2000 degrees/s
Accelerometer data rate set to: 12.5 Hz
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.47] [2.30] [9.54] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0.00
[Immediate] [6.43] [7.71] [-1.58] [Integral G] X:2912.24 Y:-1848.13 Z:15658.70 | PC:36.00
[Immediate] [7.84] [5.52] [-3.63] [Integral G] X:3642.42 Y:-1177.33 Z:15395.62 | PC:36.00
[Immediate] [8.46] [3.33] [-4.82] [Integral G] X:4466.33 Y:-729.51 Z:14960.45 | PC:36.00
[Immediate] [9.33] [0.99] [-4.26] [Integral G] X:5364.35 Y:-516.00 Z:14486.89 | PC:37.00
[Immediate] [9.64] [-0.63] [-3.63] [Integral G] X:6329.52 Y:-503.10 Z:14097.33 | PC:37.00
[Immediate] [9.55] [-2.20] [-3.27] [Integral G] X:7298.93 Y:-649.42 Z:13745.33 | PC:37.00
[Immediate] [9.62] [-3.14] [-1.99] [Integral G] X:8265.66 Y:-929.52 Z:13479.41 | PC:38.00
[Immediate] [9.55] [-3.85] [-0.56] [Integral G] X:9237.44 Y:-1281.86 Z:13355.26 | PC:38.00
[Immediate] [9.04] [-4.73] [1.34] [Integral G] X:10177.00 Y:-1722.42 Z:13395.27 | PC:38.00
[Immediate] [8.69] [-4.27] [3.43] [Integral G] X:11066.76 Y:-2187.56 Z:13648.76 | PC:39.00
[Immediate] [8.11] [-3.02] [5.48] [Integral G] X:11919.92 Y:-2555.46 Z:14103.64 | PC:39.00
[Immediate] [6.73] [-1.07] [7.55] [Integral G] X:12664.08 Y:-2764.43 Z:14780.12 | PC:39.00
[Immediate] [5.57] [1.75] [8.27] [Integral G] X:13270.99 Y:-2708.28 Z:15589.82 | PC:40.00
[Immediate] [4.35] [4.60] [7.80] [Integral G] X:13775.78 Y:-2364.22 Z:16399.94 | PC:40.00
[Immediate] [1.21] [7.43] [5.99] [Integral G] X:14043.52 Y:-1728.17 Z:17114.34 | PC:40.00
[Immediate] [-1.98] [9.00] [2.98] [Integral G] X:13983.48 Y:-879.47 Z:17591.29 | PC:41.00
[Immediate] [-4.11] [8.62] [0.49] [Integral G] X:13689.41 Y:21.00 Z:17785.60 | PC:41.00
