CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Gyro range set to: 2000 degrees/s
Accelerometer data rate set to: 12.5 Hz
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:9487.90 Y:4664.27 Z:-5139.42 | PC:52
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:9548.46 Y:4694.06 Z:-5172.26 | PC:52
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:9609.02 Y:4723.85 Z:-5205.11 | PC:53
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:9669.58 Y:4753.64 Z:-5237.95 | PC:53
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:9730.14 Y:4783.42 Z:-5270.80 | PC:53
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:9790.70 Y:4813.21 Z:-5303.64 | PC:54
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:9851.26 Y:4843.00 Z:-5336.49 | PC:54
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:9911.82 Y:4872.78 Z:-5369.33 | PC:54
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:9972.38 Y:4902.57 Z:-5402.17 | PC:55
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:10032.94 Y:4932.36 Z:-5435.02 | PC:55
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:10093.50 Y:4962.15 Z:-5467.86 | PC:55
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:10154.06 Y:4991.93 Z:-5500.71 | PC:56
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:10214.62 Y:5021.72 Z:-5533.55 | PC:56
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:10275.18 Y:5051.51 Z:-5566.40 | PC:56
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:10335.74 Y:5081.29 Z:-5599.24 | PC:57
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:10396.30 Y:5111.08 Z:-5632.09 | PC:57
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:10456.87 Y:5140.87 Z:-5664.93 | PC:57
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:10517.43 Y:5170.66 Z:-5697.78 | PC:58
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:10577.99 Y:5200.44 Z:-5730.62 | PC:58
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:10638.55 Y:5230.23 Z:-5763.47 | PC:58
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:10699.11 Y:5260.02 Z:-5796.31 | PC:59
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:10759.67 Y:5289.80 Z:-5829.16 | PC:59
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:10820.23 Y:5319.59 Z:-5862.00 | PC:59
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:10880.79 Y:5349.38 Z:-5894.85 | PC:60
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:10941.35 Y:5379.17 Z:-5927.69 | PC:60
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:11001.91 Y:5408.95 Z:-5960.54 | PC:60
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:11062.47 Y:5438.74 Z:-5993.38 | PC:61
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:11123.03 Y:5468.53 Z:-6026.22 | PC:61
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:11183.59 Y:5498.31 Z:-6059.07 | PC:61
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:11244.15 Y:5528.10 Z:-6091.91 | PC:62
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:11304.71 Y:5557.89 Z:-6124.76 | PC:62
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:11365.27 Y:5587.68 Z:-6157.60 | PC:62
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:11425.83 Y:5617.46 Z:-6190.45 | PC:63
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:11486.39 Y:5647.25 Z:-6223.29 | PC:63
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:11546.95 Y:5677.04 Z:-6256.14 | PC:63
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:11607.52 Y:5706.82 Z:-6288.98 | PC:64
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:11668.08 Y:5736.61 Z:-6321.83 | PC:64
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:11728.64 Y:5766.40 Z:-6354.67 | PC:64
