CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Gyro range set to: 2000 degrees/s
Accelerometer data rate set to: 12.5 Hz
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [-9.10] [-1.81] [0.80] [Integral G] X:7110.49 Y:-1107.17 Z:9922.98 | PC:25.00
[Immediate] [-9.22] [-1.23] [0.08] [Integral G] X:6184.48 Y:-1262.16 Z:9962.27 | PC:26.00
[Immediate] [-9.31] [-0.09] [0.04] [Integral G] X:5247.20 Y:-1325.00 Z:9961.56 | PC:26.00
[Immediate] [-9.30] [0.08] [0.26] [Integral G] X:4308.78 Y:-1313.83 Z:9982.42 | PC:26.00
[Immediate] [-9.30] [-0.07] [0.32] [Integral G] X:3369.61 Y:-1318.98 Z:10007.76 | PC:27.00
[Immediate] [-9.28] [-0.22] [0.44] [Integral G] X:2432.03 Y:-1332.99 Z:10052.29 | PC:27.00
[Immediate] [-9.30] [-0.17] [-0.22] [Integral G] X:1493.73 Y:-1357.16 Z:10065.65 | PC:27.00
[Immediate] [-9.20] [0.92] [-1.26] [Integral G] X:558.38 Y:-1322.36 Z:9983.75 | PC:28.00
[Immediate] [-8.87] [2.54] [-1.41] [Integral G] X:-353.21 Y:-1136.30 Z:9839.62 | PC:28.00
[Immediate] [-8.05] [4.77] [-0.66] [Integral G] X:-1208.23 Y:-755.29 Z:9727.05 | PC:28.00
[Immediate] [-6.11] [6.94] [2.00] [Integral G] X:-1930.73 Y:-147.01 Z:9780.62 | PC:29.00
[Immediate] [-4.00] [7.21] [4.80] [Integral G] X:-2456.22 Y:576.69 Z:10110.97 | PC:29.00
[Immediate] [-1.20] [6.08] [7.48] [Integral G] X:-2740.96 Y:1263.86 Z:10723.65 | PC:29.00
[Immediate] [2.04] [3.67] [8.97] [Integral G] X:-2711.84 Y:1776.76 Z:11560.49 | PC:30.00
[Immediate] [5.07] [2.22] [8.43] [Integral G] X:-2361.73 Y:2054.20 Z:12459.75 | PC:30.00
[Immediate] [8.14] [0.37] [6.23] [Integral G] X:-1700.54 Y:2189.48 Z:13223.49 | PC:30.00
[Immediate] [10.04] [-0.09] [2.62] [Integral G] X:-772.66 Y:2192.02 Z:13682.06 | PC:31.00
[Immediate] [10.33] [0.45] [-0.93] [Integral G] X:266.23 Y:2208.26 Z:13771.57 | PC:31.00
[Immediate] [9.14] [1.16] [-4.63] [Integral G] X:1264.21 Y:2286.39 Z:13493.92 | PC:31.00
[Immediate] [6.34] [2.44] [-7.55] [Integral G] X:2056.80 Y:2460.95 Z:12865.70 | PC:32.00
[Immediate] [2.84] [3.07] [-9.06] [Integral G] X:2520.24 Y:2751.50 Z:12016.40 | PC:32.00
[Immediate] [-0.92] [3.03] [-9.26] [Integral G] X:2614.80 Y:3063.53 Z:11079.46 | PC:32.00
[Immediate] [-4.79] [2.48] [-7.94] [Integral G] X:2315.25 Y:3344.90 Z:10199.27 | PC:33.00
[Immediate] [-7.64] [1.49] [-5.35] [Integral G] X:1667.45 Y:3544.97 Z:9529.17 | PC:33.00
[Immediate] [-9.01] [0.40] [-2.41] [Integral G] X:812.23 Y:3637.88 Z:9144.63 | PC:33.00
[Immediate] [-9.24] [-0.26] [1.04] [Integral G] X:-120.51 Y:3632.34 Z:9082.42 | PC:34.00
[Immediate] [-8.21] [-0.01] [4.40] [Integral G] X:-1005.05 Y:3612.74 Z:9381.12 | PC:34.00
[Immediate] [-6.69] [2.04] [6.29] [Integral G] X:-1752.51 Y:3715.50 Z:9944.28 | PC:34.00
[Immediate] [-4.49] [4.26] [7.23] [Integral G] X:-2312.00 Y:4046.39 Z:10639.72 | PC:35.00
[Immediate] [-1.69] [7.19] [6.28] [Integral G] X:-2606.55 Y:4641.33 Z:11336.79 | PC:35.00
[Immediate] [0.74] [8.96] [3.90] [Integral G] X:-2633.68 Y:5476.93 Z:11845.93 | PC:35.00
[Immediate] [3.51] [9.34] [0.31] [Integral G] X:-2423.70 Y:6425.66 Z:12049.67 | PC:36.00
